YR,MO,NUM_CHECKOUT_L,NUM_CHECKOUT_G,NUM_CHECKOUT_B,NUM_CHECKOUT_T,NUM_CHECKOUT_Q,NUM_CHECKOUT_I,NUM_CHECKOUT_A,NUM_CHECKOUT_H
2006,1,702.0,1493,79.0,,,7.0,,446.0
2006,2,925.0,1970,97.0,,,7.0,1.0,564.0
2006,3,1176.0,2269,100.0,,,7.0,,699.0
2006,4,848.0,1866,69.0,,,2.0,,528.0
2006,5,715.0,1610,68.0,,1.0,1.0,1.0,539.0
2006,6,1199.0,2957,120.0,,2.0,1.0,1.0,779.0
2006,7,1187.0,2935,122.0,,1.0,3.0,,677.0
2006,8,1341.0,3121,120.0,,,12.0,,781.0
2006,9,1046.0,2314,97.0,,1.0,2.0,,615.0
2006,10,1262.0,2979,107.0,,2.0,9.0,1.0,729.0
2006,11,1159.0,2561,113.0,,,8.0,,652.0
2006,12,874.0,2345,79.0,,,2.0,,618.0
2007,1,377.0,998,33.0,,,2.0,,286.0
2007,2,512.0,1431,39.0,,1.0,2.0,,329.0
2007,3,1052.0,2841,127.0,,,8.0,,649.0
2007,4,1058.0,2946,101.0,,1.0,1.0,,659.0
2007,5,1133.0,2701,109.0,,1.0,20.0,,586.0
2007,6,988.0,2553,106.0,,1.0,34.0,,560.0
2007,7,1242.0,3183,129.0,,1.0,40.0,,790.0
2007,8,1195.0,3322,149.0,,1.0,64.0,,691.0
2007,9,1254.0,2987,188.0,2.0,2.0,67.0,,727.0
2007,10,835.0,1959,93.0,1.0,,42.0,,456.0
2007,11,1283.0,3448,133.0,1.0,1.0,68.0,,675.0
2007,12,1319.0,3383,144.0,3.0,1.0,59.0,1.0,633.0
2008,1,1482.0,3822,164.0,2.0,1.0,69.0,,762.0
2008,2,1416.0,3623,238.0,2.0,,52.0,,691.0
2008,3,1470.0,3893,250.0,18.0,3.0,72.0,,801.0
2008,4,1374.0,3448,256.0,21.0,1.0,88.0,,724.0
2008,5,1459.0,3717,300.0,25.0,,71.0,,737.0
2008,6,1558.0,3824,308.0,26.0,,55.0,,854.0
2008,7,1639.0,4355,372.0,65.0,,60.0,,990.0
2008,8,1545.0,4198,339.0,80.0,,103.0,,875.0
2008,9,1540.0,3966,306.0,130.0,,142.0,,863.0
2008,10,1511.0,4035,420.0,120.0,,107.0,,874.0
2008,11,1268.0,3251,318.0,91.0,1.0,85.0,,698.0
2008,12,1588.0,3913,429.0,88.0,1.0,103.0,1.0,901.0
2009,1,1668.0,4380,517.0,121.0,1.0,159.0,,937.0
2009,2,1350.0,3911,408.0,104.0,2.0,104.0,,850.0
2009,3,1742.0,4613,480.0,120.0,,129.0,,918.0
2009,4,1538.0,3967,424.0,80.0,1.0,102.0,,750.0
2009,5,1581.0,4573,475.0,109.0,1.0,120.0,,830.0
2009,6,1679.0,4623,461.0,125.0,,113.0,,1018.0
2009,7,1710.0,4456,431.0,118.0,,130.0,,981.0
2009,8,1710.0,4738,506.0,101.0,,152.0,1.0,969.0
2009,9,1158.0,3301,296.0,81.0,,104.0,,735.0
2009,10,1611.0,4170,461.0,104.0,,141.0,,878.0
2009,11,1576.0,4308,432.0,101.0,,117.0,,887.0
2009,12,1491.0,4320,400.0,121.0,1.0,149.0,,822.0
2010,1,1503.0,4471,395.0,86.0,3.0,130.0,1.0,833.0
2010,2,1362.0,3895,356.0,80.0,1.0,72.0,,738.0
2010,3,1550.0,4352,440.0,108.0,,97.0,,831.0
2010,4,1374.0,3906,366.0,85.0,1.0,89.0,,817.0
2010,5,1337.0,3829,359.0,108.0,2.0,75.0,,799.0
2010,6,1409.0,3872,351.0,112.0,1.0,112.0,,841.0
2010,7,1352.0,3893,355.0,128.0,1.0,80.0,,869.0
2010,8,1319.0,3845,294.0,104.0,1.0,109.0,,851.0
2010,9,1030.0,3144,237.0,94.0,1.0,85.0,,636.0
2010,10,1136.0,3800,294.0,94.0,2.0,95.0,,795.0
2010,11,1200.0,3750,295.0,112.0,1.0,89.0,,762.0
2010,12,1445.0,4010,338.0,117.0,,102.0,,767.0
2011,1,1469.0,4094,342.0,131.0,1.0,123.0,,833.0
2011,2,1307.0,3632,290.0,89.0,2.0,89.0,,724.0
2011,3,1487.0,4107,326.0,112.0,1.0,102.0,,785.0
2011,4,1494.0,3635,290.0,107.0,1.0,128.0,,826.0
2011,5,1426.0,3461,283.0,142.0,1.0,110.0,,811.0
2011,6,1592.0,3598,336.0,134.0,3.0,100.0,,940.0
2011,7,1647.0,3633,294.0,125.0,7.0,88.0,,857.0
2011,8,1460.0,3378,261.0,131.0,7.0,91.0,,784.0
2011,9,1172.0,2723,224.0,89.0,9.0,68.0,,618.0
2011,10,1339.0,3169,232.0,108.0,3.0,108.0,,703.0
2011,11,1305.0,3012,218.0,146.0,8.0,97.0,,620.0
2011,12,1265.0,3432,220.0,68.0,5.0,96.0,,621.0
2012,1,1104.0,3263,177.0,109.0,3.0,88.0,,606.0
2012,2,1088.0,3274,174.0,76.0,3.0,76.0,,625.0
2012,3,1187.0,3750,181.0,109.0,5.0,75.0,,684.0
2012,4,1096.0,3498,192.0,90.0,14.0,60.0,,642.0
2012,5,1288.0,3561,219.0,100.0,12.0,68.0,,676.0
2012,6,1279.0,3586,300.0,106.0,11.0,69.0,,684.0
2012,7,1357.0,3999,328.0,100.0,2.0,66.0,,797.0
2012,8,1133.0,3267,280.0,82.0,14.0,50.0,,584.0
2012,9,1006.0,3047,243.0,116.0,3.0,51.0,,524.0
2012,10,1108.0,3503,261.0,82.0,7.0,58.0,,626.0
2012,11,1103.0,3368,301.0,93.0,10.0,46.0,,580.0
2012,12,1114.0,3214,261.0,97.0,6.0,62.0,,552.0
2013,1,1262.0,3466,235.0,129.0,6.0,50.0,,674.0
2013,2,989.0,3035,216.0,83.0,7.0,54.0,,645.0
2013,3,1079.0,3376,219.0,108.0,8.0,49.0,,651.0
2013,4,987.0,3290,177.0,92.0,7.0,37.0,,623.0
2013,5,982.0,3025,205.0,114.0,12.0,34.0,,564.0
2013,6,1141.0,3521,206.0,121.0,11.0,71.0,,758.0
2013,7,1083.0,3442,177.0,183.0,10.0,77.0,,733.0
2013,8,1072.0,3373,172.0,175.0,12.0,61.0,,687.0
2013,9,926.0,3485,177.0,120.0,5.0,56.0,,660.0
2013,10,1011.0,3650,166.0,133.0,6.0,58.0,,634.0
2013,11,1063.0,3395,148.0,148.0,6.0,41.0,,555.0
2013,12,1069.0,3375,124.0,111.0,9.0,64.0,,529.0
2014,1,1144.0,3541,134.0,155.0,9.0,41.0,,586.0
2014,2,1140.0,3070,149.0,263.0,7.0,40.0,,489.0
2014,3,1385.0,3411,131.0,317.0,11.0,42.0,,530.0
2014,4,1368.0,3247,147.0,280.0,9.0,36.0,,477.0
2014,5,1373.0,3377,129.0,261.0,8.0,27.0,,585.0
2014,6,1465.0,3698,125.0,266.0,5.0,23.0,,774.0
2014,7,1492.0,3570,131.0,372.0,6.0,21.0,,722.0
2014,8,1499.0,3609,118.0,351.0,5.0,22.0,,791.0
2014,9,1398.0,3500,98.0,301.0,9.0,45.0,,696.0
2014,10,1336.0,3406,116.0,372.0,5.0,47.0,,680.0
2014,11,1148.0,3302,109.0,326.0,7.0,28.0,3.0,691.0
2014,12,1074.0,3319,121.0,323.0,5.0,54.0,1.0,556.0
2015,1,1024.0,3377,124.0,248.0,8.0,41.0,1.0,553.0
2015,2,972.0,3274,110.0,301.0,3.0,35.0,1.0,486.0
2015,3,1113.0,3773,93.0,275.0,1.0,47.0,1.0,592.0
2015,4,1065.0,4033,120.0,235.0,8.0,31.0,1.0,546.0
2015,5,1058.0,4010,127.0,194.0,10.0,31.0,2.0,513.0
2015,6,1199.0,4292,140.0,391.0,6.0,49.0,1.0,537.0
2015,7,1269.0,4422,161.0,357.0,13.0,42.0,2.0,645.0
2015,8,1095.0,4083,150.0,309.0,4.0,25.0,,539.0
2015,9,1083.0,3926,156.0,292.0,7.0,39.0,2.0,539.0
2015,10,1066.0,3698,114.0,351.0,5.0,18.0,,524.0
2015,11,1039.0,3757,118.0,355.0,5.0,33.0,2.0,516.0
2015,12,980.0,3607,123.0,287.0,7.0,29.0,1.0,467.0
2016,1,1047.0,3782,107.0,353.0,7.0,22.0,1.0,592.0
2016,2,1153.0,3401,139.0,392.0,9.0,24.0,2.0,475.0
2016,3,1384.0,3577,98.0,616.0,6.0,39.0,2.0,458.0
2016,4,1382.0,3236,110.0,883.0,9.0,29.0,,434.0
2016,5,1479.0,3286,101.0,948.0,11.0,29.0,,475.0
2016,6,1585.0,3480,119.0,1023.0,15.0,42.0,3.0,637.0
2016,7,1505.0,3402,95.0,968.0,7.0,25.0,,524.0
2016,8,1574.0,3290,112.0,944.0,6.0,34.0,2.0,518.0
2016,9,1435.0,3240,116.0,893.0,20.0,24.0,,471.0
2016,10,1350.0,3191,110.0,1001.0,17.0,23.0,,471.0
2016,11,1284.0,3032,101.0,900.0,11.0,19.0,3.0,447.0
2016,12,1247.0,3150,85.0,878.0,15.0,31.0,,421.0
2017,1,1256.0,3282,97.0,848.0,13.0,27.0,2.0,414.0
2017,2,762.0,1886,56.0,534.0,6.0,17.0,2.0,287.0
2017,3,1232.0,3287,117.0,876.0,22.0,47.0,,456.0
2017,4,1040.0,2965,89.0,879.0,11.0,44.0,1.0,400.0
2017,5,1223.0,2944,109.0,902.0,16.0,41.0,1.0,398.0
2017,6,1264.0,3125,131.0,904.0,18.0,29.0,4.0,465.0
2017,7,1388.0,3364,153.0,1068.0,13.0,29.0,7.0,494.0
2017,8,1134.0,3234,181.0,921.0,19.0,23.0,4.0,459.0
2017,9,1110.0,3190,189.0,880.0,19.0,34.0,1.0,447.0
2017,10,988.0,3018,167.0,742.0,14.0,66.0,7.0,420.0
2017,11,963.0,2620,134.0,662.0,11.0,62.0,6.0,352.0
2017,12,832.0,2235,154.0,585.0,5.0,47.0,10.0,314.0
2018,1,,,,,,,,
2018,2,,,,,,,,
2018,3,366.0,1435,43.0,284.0,4.0,23.0,9.0,168.0
2018,4,1046.0,3704,182.0,757.0,12.0,28.0,28.0,456.0
2018,5,1034.0,3693,203.0,695.0,21.0,28.0,32.0,407.0
2018,6,1355.0,4702,262.0,943.0,18.0,38.0,41.0,538.0
2018,7,1305.0,4689,231.0,829.0,22.0,30.0,35.0,465.0
2018,8,929.0,3021,172.0,571.0,16.0,27.0,24.0,282.0
2018,9,279.0,924,44.0,199.0,4.0,5.0,9.0,78.0
2018,10,1166.0,3897,179.0,593.0,6.0,35.0,37.0,416.0
2018,11,1070.0,3625,212.0,709.0,14.0,37.0,31.0,371.0
2018,12,1107.0,3657,195.0,634.0,17.0,28.0,39.0,337.0
2019,1,1170.0,3962,185.0,585.0,17.0,23.0,34.0,387.0
2019,2,1010.0,3475,180.0,594.0,15.0,18.0,36.0,390.0
2019,3,1154.0,3726,164.0,622.0,17.0,20.0,40.0,432.0
2019,4,1099.0,3646,184.0,663.0,17.0,33.0,38.0,433.0
2019,5,1184.0,3660,210.0,791.0,27.0,31.0,32.0,473.0
2019,6,1540.0,4810,222.0,1013.0,40.0,48.0,72.0,602.0
2019,7,1348.0,4195,238.0,836.0,29.0,21.0,58.0,468.0
2019,8,1288.0,3673,226.0,757.0,29.0,29.0,53.0,416.0
2019,9,1236.0,3151,124.0,517.0,15.0,24.0,28.0,434.0
2019,10,1406.0,3239,148.0,728.0,33.0,25.0,27.0,409.0
2019,11,2059.0,4109,126.0,803.0,31.0,13.0,33.0,396.0
2019,12,1952.0,3644,134.0,770.0,18.0,22.0,31.0,346.0
2020,1,2138.0,3998,124.0,895.0,19.0,26.0,33.0,394.0
2020,2,1379.0,2844,80.0,607.0,20.0,26.0,23.0,328.0
2020,3,1526.0,2311,160.0,561.0,12.0,15.0,26.0,228.0
2020,4,,1,,,,,,
2020,5,2.0,10,,,,,,
2020,6,,,,,,,,
2020,7,1.0,2,,,,,,
2020,8,85.0,98,8.0,32.0,1.0,,2.0,6.0
2020,9,387.0,696,27.0,128.0,3.0,4.0,5.0,61.0
2020,10,666.0,877,61.0,260.0,4.0,11.0,18.0,109.0
2020,11,715.0,995,70.0,206.0,6.0,4.0,11.0,75.0
2020,12,1393.0,1304,72.0,554.0,16.0,8.0,13.0,120.0
2021,1,1412.0,1646,83.0,557.0,18.0,6.0,24.0,138.0
2021,2,1096.0,1967,92.0,441.0,29.0,16.0,20.0,126.0
2021,3,1273.0,2086,67.0,636.0,20.0,7.0,24.0,157.0
2021,4,1127.0,1931,110.0,630.0,21.0,9.0,29.0,148.0
2021,5,1092.0,1721,92.0,493.0,24.0,11.0,20.0,134.0
2021,6,1829.0,3126,144.0,820.0,43.0,13.0,34.0,260.0
2021,7,1906.0,3053,252.0,753.0,68.0,11.0,40.0,218.0
2021,8,1987.0,3031,188.0,681.0,52.0,12.0,41.0,252.0
2021,9,1914.0,3449,157.0,642.0,58.0,16.0,26.0,275.0
2021,10,1788.0,3928,194.0,715.0,175.0,12.0,33.0,255.0
2021,11,1609.0,3879,227.0,733.0,246.0,12.0,54.0,263.0
2021,12,1289.0,3259,185.0,640.0,183.0,11.0,41.0,160.0
2022,1,1755.0,4046,233.0,804.0,204.0,32.0,42.0,269.0
2022,2,1576.0,3472,190.0,754.0,159.0,12.0,37.0,222.0
2022,3,1776.0,3764,203.0,919.0,124.0,22.0,79.0,254.0
2022,4,1797.0,4080,219.0,940.0,141.0,5.0,77.0,252.0
2022,5,2022.0,4598,271.0,1009.0,154.0,13.0,83.0,242.0
2022,6,2749.0,5357,448.0,1541.0,183.0,31.0,122.0,378.0
2022,7,2561.0,4287,420.0,1106.0,199.0,23.0,126.0,243.0
2022,8,2686.0,4282,409.0,1156.0,204.0,25.0,203.0,265.0
2022,9,2230.0,3737,420.0,1035.0,163.0,16.0,177.0,273.0
2022,10,65.0,170,8.0,24.0,8.0,,7.0,4.0
2022,11,588.0,1140,72.0,282.0,58.0,2.0,29.0,64.0
2022,12,2031.0,3773,397.0,989.0,165.0,4.0,149.0,230.0
2023,1,1833.0,3488,318.0,792.0,141.0,10.0,126.0,168.0
